ISO timestamp of the run (UTC),Page URL measured,Field data scope used (url|origin|none),Largest Contentful Paint p75 (ms),Cumulative Layout Shift p75 (unitless),Interaction to Next Paint p75 (ms),Time to First Byte p75 (ms)
target: n/a,target: n/a,target: url preferred,target: <= 2500,target: <= 0.1,target: <= 200,target: <= 800
timestamp_iso,url,field_scope,lcp_p75_ms,cls_p75,inp_p75_ms,ttfb_p75_ms
2026-02-19T15:52:21.506Z,https://www.edgenyc.com/en/buy-tickets,origin,2198,0.10,161,949
2026-02-19T15:52:21.506Z,https://www.edgenyc.com/en/sky-skate,origin,2198,0.10,161,949
2026-02-20T15:39:03.077Z,https://www.edgenyc.com/en/buy-tickets,origin,2186,0.10,162,947
2026-02-20T15:39:03.077Z,https://www.edgenyc.com/en/sky-skate,origin,2186,0.10,162,947
2026-02-21T15:27:56.255Z,https://www.edgenyc.com/en/buy-tickets,origin,2177,0.10,161,953
2026-02-21T15:27:56.255Z,https://www.edgenyc.com/en/sky-skate,origin,2177,0.10,161,953
2026-02-22T15:28:02.213Z,https://www.edgenyc.com/en/buy-tickets,origin,2165,0.10,162,949
2026-02-22T15:28:02.213Z,https://www.edgenyc.com/en/sky-skate,origin,2165,0.10,162,949
2026-02-23T16:20:14.933Z,https://www.edgenyc.com/en/buy-tickets,origin,2140,0.10,162,952
2026-02-23T16:20:14.933Z,https://www.edgenyc.com/en/sky-skate,origin,2140,0.10,162,952
